23-Sep	30-Sep	7-Oct	14-Oct	21-Oct	28-Oct	4-Nov	11-Nov	18-Nov	25-Nov	2-Dec	9-Dec	16-Dec	23-Dec	30-Dec	6-Jan	13-Jan	20-Jan	27-Jan	3-Feb	10-Feb	17-Feb	24-Feb	2-Mar	9-Mar	16-Mar	23-Mar	30-Mar	6-Apr	13-Apr	20-Apr	27-Apr	4-May	11-May	18-May	25-May	1-Jun	8-Jun	15-Jun	22-Jun	29-Jun	6-Jul	13-Jul	20-Jul	27-Jul	3-Aug	10-Aug	17-Aug	24-Aug	31-Aug	7-Sep	14-Sep	21-Sep
Search continues today for missing Kalispell bow hunter		Montana has guards to fill Dunn's void	Prep Athletes of the Week for Oct. 15	MMAC 120: Secrest's sculptures reference past, present	Monthly artTALKs series pairs established, emerging artists in dialogue	Election results for western Montana (unofficial)		Man goes missing in Kalispell without his medication	Weber St. over Murray St. 75-59 in Gulf Coast Showcase title	Fatalities and Injuries	Illustrator Ed Jenne holding one-day only Christmas card show	Taking trampoline to new heights	Writer, musician collaborate on D&D-themed play	Mountain Line closed New Year?s Day		Oregon occupation reignites federal land transfer debate in Montana	MIS 012116 Sports skybox	Videos document Native musicians from Montana, Wyoming	Former Butte Central teacher enters Alford plea to sexually assaulting student	Motl dismisses complaint against Gianforte	Prep Extra: Philipsburg's Alex Boomer doesn't let short stature stand in his way	Butte's 'Pork Chop John' dies at 82			Booklet full of 'Keepers' is sure to give pleasure	Mom's body piercings are becoming targets of ridicule	Ethnicity and gender of minimum wage workers	Death penalty views in the United States	Could Fast Food Expose People to Harmful Chemicals?	Eating Disorders Seem More Common in Schools Where Girls Predominate				Cord stops	Common Abnormal Heart Rhythm Linked to Cancer Risk	Prep scoreboard: Thursday, June 2	Health Tip: Enjoy an Active Summer	Crown Summer Series	Justin Bieber's hair	First Friday showing spotlights art of sequential storytelling	Gene Test Might One Day Gauge Alzheimer's Risk in Younger Adults	Fertility in Japan	Educators union: Lockwood eliminated 10 positions, then issued raises to staff	Montana insurers make case for big rate increases	Meseroll 5 on 5	Facebook is going to start blocking your ad blockers	Kids With Mild Asthma Can Take Acetaminophen: Study	Proposition reveals secret side of woman's best friend	Griz in Beaverhead Mountains near Jackson: see picture	Search continues today for missing Kalispell bow hunter		Montana has guards to fill Dunn's void
Tester to escort Pope Francis to House chambers		Montana medical board suspends dependency-center doctor's license	Prep cross-country: Flathead sweeps Glacier Invitational	Oct. 21, 1969		Ever-changing downtown captured in Missoula night-scapes	Ravalli County won't appeal decision blocking Legacy Ranch subdivision	Matchup with Griz a year in the making for Bobcats? QB Prukop	Wife who yearns for husband's support must rely on her own	First Friday: Young painter has 1st solo exhibition at Dana		The Most Expensive Blocks in Every State	Young Iowa blogger takes on each presidential candidate, one town hall meeting at a time	Raasch: Bill Clinton an enigmatic campaigner for Hillary	Report: College football games increase rape reports		Prep Extra: Loyola's Hollenback conquers knee injury in return to court		Lake, Koopman running to keep PSC seats	Off the Rack encourages Missoula to 'talk about sex'	Tester: Appointing a new Supreme Court justice shouldn't wait	Ebola May Leave Lasting Neurological Problems			Charges dropped against Healthy Claims employee	Montanore Mine permitted by federal officials, but battle to protect wilderness continues	Federal minimum wage over time	Diabetes Cases Quadruple Worldwide Since 1980: Report	Does Exercise Help or Hinder Your Diet?	Gene Therapy May Offer Hope for 'Bubble Boy' Disease		Idaho football expected to announce return to Big Sky Conference		Could Spuds Be Bad for Blood Pressure?	Complete rankings	Small-dollar donations	Health Tip: Laxatives Have Side Effects	DAT Conference	Justin Timberlake's leftover French toast	For Better Skin Cancer Checks, Partner Up	Hartsfield-Jackson Atlanta International Airport (ATL)	Fertility in the United States	Even Your Heart May Benefit From Extra Education	New albums: Michael Kiwanuka, Blood Orange, Snoop Dogg	MIS 080416 sports calendar	Fair Schedule - Wednesday	Lewis and Clark County 4-H Sport Fishing program saves hundreds of trapped fish	Radius Gallery's juried exhibition underscores breadth of art in Montana, beyond	MIS 090116 sports calendar	Tester to escort Pope Francis to House chambers		Montana medical board suspends dependency-center doctor's license
		MSU's Prukop, Sac State's Sankey a clash of excellence	Sow 822 shows unexpected range, adaptability of grizzlies	Prep Extra: Sentinel's Marshall Beatty is in firm control on race day	Restoration effort connects Modesty Creek to Clark Fork River for first time in 60 years	Free memory care sessions offered in Hamilton	Sports calendar for 11-12-15	Montana begins review of criminal justice system	Woman allegedly attacked with elk antler after refusing to take man to strip club		Looking back on 15 of Trump's most unusual campaign statements	The most memorable and quotable moments from the 5th Republican debate		Sheriff says 'guess is' missing Lost Trail skier fell in tree well	Thieves make off with horse tails in Helena Valley	Prep Extra: Hamilton wrestler Hinson on a mission to make up for lost time	Prep scoreboard, Jan. 21		Montana State Prison inmate dies at Missoula hospital		Whitefish's water supply officially protected from future development	Exercise + Classwork May = Better Math Scores			Class AA boys' basketball: Hellgate's Schenk, Big Sky's Tabish tabbed all-state	Muslim population in EU member countries	First Friday: Long-view photographs and conceptual videos	Ex-Butte teacher gets prison for sexual assault of girl in Hamilton	Establish firm boundaries to prevent unwilling sex	Getting Ahead		Kids From Poorer Families May Have Worse Food Allergy Care	Girl with disabilities left on Corvallis school bus for 3 hours	David Stras, Minnesota	Democrat's robocall violates Montana's campaign rules	Where Americans have the largest mortgage burdens	Hey Drivers: Hands-Free Cellphones Not Risk-Free	Deonka Deidra Drayton	Kim Jong-un: Major events since his rise to power	Has Butter Gotten a Bad Rap?	How to Stay Safe When the Power Goes Out	Fewer children than ever	Florida Investigates Possible Local Transmission of Zika Virus	People like him	Rebecca Farm event raises $120,000 for breast cancer research, programs	For Aging Blacks, 'Golden Years' Often Marred by Disability	Man in relationship wants more than sleeping on floor	Retired smokejumpers build new Lewis and Clark Trail	Nez Perce fire grows to 69 acres east of Elk Park			MSU's Prukop, Sac State's Sankey a clash of excellence
		New consul of Mexico seeks to strengthen ties with Montana	The Riff Report: New music this week	Timber sales resume near Whitefish after grizzly bear habitat settlement approved	Send Missoulian events for Halloween listing	Lady Griz hold off feisty Saints	State A volleyball: Corvallis leads trio of area teams playing at state	National Housing Starts Dive to Lowest Level Since March			Montana Lady Griz at Colorado State	The Snowiest Cities in America			Woman still angry at family for ignoring childhood trauma		Skier, snowboarder die in avalanches in West		Prep athletes of the week for Feb. 4			Flu Season Continues to Be Mild: CDC	Inducing Labor May Not Boost C-Section Risk	Islamic speaker met with applause, not pickets, in Darby	Class AA girls' basketball: Sentinel pair leads all-state squad	Muslim population in Europe	Flathead County Sheriff's Office investigating death of 2-year-old girl	Feds to hold grizzly bear meetings in Bozeman	Even Light Hookah Use May Cause Airway Problems	Have you seen this woman? N-Dak woman missing from Butte motel		Little League scores	Google Cardboard	Determining the best	Doctors Spot New Vision Problems in Babies Struck by Zika	Woman with little experience wants freedom to live it up	How far can you go?	East Helena man accused of molesting 4-year-old boy	Late miner's legal dispute with federal government expected to continue	Health Highlights: June 29, 2016	John F. Kennedy International Airport (JFK)	Flood Danger in the U.S.	Food-inspired trends	Red Ants Pants Music Fest brings national-stage musicians to rustic setting	Sample 5 on 5 (copy)	Forest Service plan to create jobs near Drummond	MCT seeks actors with tumbling skills for 'Tarzan'	Supreme Court denies Billings serial rapist's appeal	Overview: Dates and locations of proposed debates			New consul of Mexico seeks to strengthen ties with Montana
		Prep Athletes of the Week for Oct. 8	Yellowstone County jail hits 501 inmates		Wright, Breunig lead Griz in Maroon-Silver scrimmage	Lady Griz outlast Carroll, 59-54	State AA volleyball: Sentinel, Hellgate filling different roles at state				Northern Colorado rolls to 91-58 victory over NAIA's York	Woman who wants implants must ignore boyfriend's threats		State loan comes in for Bigfork storm water system improvements			Sports calendar for Jan. 21		Ranking All 50 MVPs from the 49 Super Bowls	Hellgate swimmer Brendan Campbell fights through pain of mystery muscle ailment		Group exhibition surveys modern surrealists in the Rocky Mountains	Judge rejects stay for Florence physician facing 400 felonies	Man looking at gay porn may be more than merely curious	Eastern Washington gets first Division I postseason victory	Percent Muslim population in EU member countries	Hellgate's tennis teams pack wallop	Flash in the Pan: Weed Pesto	Expectations high for Griz O-line			Mindfulness Therapy May Help Ease Recurrent Depression		Diane Sykes, Wisconsin	FLASH IN THE PAN: Rebranding kohlrabi		Jack Chi	Employers of civilian soldiers get a taste of military life	Legion baseball: Capital City scores late to down Libby 5-4	Health Tip: Avoiding Insect Stings	Legion baseball: Bitterroot Red Sox rip A Mavs	Health Tip: Go Easy on the Condiments	Great Falls whips AA Lakers	Search for missing stunt biker suspended Tuesday evening	Speltz 5 on 5	Frozen Embryos May Boost Pregnancy Odds for Some Women	Meds May Curb Risky Behaviors for Kids With ADHD	Wildfires close Yellowstone's south entrance, burn near west entrance	Overview: Vice presidential debate			Prep Athletes of the Week for Oct. 9
		Rand Paul to be in Davenport next Tuesday					State B volleyball: Unbeaten Florence hopes to take final step	Pacific Tigers at Montana Lady Griz			Prep girls' basketball preview: New faces in new places			Who's dropped out of the GOP race so far			Teenager waives transfer hearing, pleads not guilty in Pablo shooting incident		The City That Wakes Up Earliest in Every State	Transitional housing unit remembers veteran who died after being hit by in Billings			Lazy Weekends May Boost Body Fat, Study Shows		Father sentenced to 18 years in prison for allowing his daughter be abused to death	Schools across state pitch in for Havre 14-month-old	MDT rules may allow electronic billboards along highways	Forest officials face spring cleaning from Bob Marshall Wilderness fires	Expected mushroom bonaza spells permit requirements			Mom's Pre-Pregnancy Weight May Help Predict Child's Size		Don Willett, Texas	Genetic Insights May Help Kids Battling Developmental Delays		Legion baseball: Kalispell crushes Mission Valley, 20-5	Festival Amadeus	Legion baseball: Mavericks use more late heroics to drop Bozeman again	Health Tip: Fuel Up for a Day at the Beach	Los Angeles International Airport (LAX)	Health Tip: Manage Emotional Stress	Health Highlights: July 20, 2016	Single mom craves family's embrace of her daughters	Sport climbing	Global mortality rates vs. their mortality rate in Brazil	MIS 081816 D5 OLY full page Element E replacement	Yellowstone fish-killing parasite is so prolific it's 'shocking' fish to death	Parole denied for man who shot deputy sheriff in 1992			Rand Paul to be in Davenport next Tuesday
		Santorum touts hardline immigration enforcement in Sioux City				MaryAnn Bonjorni rearranges themes, imagery of West		Power outages reported across Montana; worst of winds over in Billings		Helena attorney chosen as new district judge	Ravalli County commissioners question Forest Service on road closures								Woman on egg donor registry need not volunteer her status	Wedding cast of characters reflects turbulent history			Low Vitamin D Levels May Signal More Aggressive Prostate Cancer		Former Townsend outfitter faces fines, loss of hunting privileges over mountain lion charges	8 anglers catch limit  one 3 times  as Mack Days starts on Flathead Lake	Minimum wage by state	Fruit Every Day Might Help Your Heart, Researchers Say	Fighting Back, Bedbugs Grow a Thicker Skin			Montana Supreme Court considers lower passing grade for State Bar Exam		Drug Protects Lung Function in Kids With Sickle Cell: Study	Health Highlights: May 25, 2016		Legion baseball: Mavs rally to win home Memorial Tournament opener	Flathead Lake Blues Festival	Legion baseball: Red Sox, Mariners split doubleheader	In defense of #HeterosexualPrideDay	Medal count	How to Spot the Warning Signs of Heat Stroke	Health Tip: Kids Should Wear Life Jackets	State AA Legion: Kalispell, Lethbridge advance in 1st round	State bills Bullock $1,155 for campaign-related state plane use	Hail the huckleberry: Multiple festivals on tap this weekend	Missoula Farmers Market: Peaches rich in flavor and nutrition		Prep notebook: Former Knights cleared to play for Loyola			Santorum touts hardline immigration enforcement in Sioux City
		Team Trump Montana not getting much support from state GOP and vice versa				Missoula County seeks input on fairgrounds concept drawings		Pumpkin cheesecake with honey sour cream		Help-Portrait provides professional pictures to those in need	Reggie Watts on live late-night improv												Nominate your town for year of humanities program	Poplar hit-and-run victim identified on Tuesday	Genetic Tests May Not Change People's Unhealthy Ways	A look at strange tax laws	Minimum wage workers in the United States	Gene May Raise Melanoma Risk, Even Without Sun Exposure	Florence's Clagett commits to University of Mary			Pickup strikes, kills bison on West Yellowstone roadway		Early Palliative Care Seems to Help Caregivers, Too	Health Tip: Swaddle Baby Safely		Legion baseball: Red Sox hammer Loggers in sweep	Forget Huntley, Rams thinking turnovers this summer	Life expectancy at birth in North Korea	Kellogg is bringing the $7.50 bowl of cereal to Times Square	Men With Advanced Prostate Cancer Might Consider Gene Test	International Choral Festival kicks off at Out to Lunch	Health Tip: The Basics of Food Safety	State AA Legion: Mavs move on at state tournament	Which restricted movies are the cream of the crop?	Head-on crash near Avon claims at least one person; extrication equipment, helicopter requested	New Moms' Hair Loss Usually Temporary, Expert Says		Presidential debate No. 1: The basics			Team Trump Montana not getting much support from state GOP and vice versa
		Trump draws fans out on campaign stop in Waterloo				MMAC 120: Ceramic tile mural perfect for its spot at UM		State reprimands Billings Police Department for officer's unauthorized data requests			Stensrud moves into musicals with 'Paisley Sisters' Christmas Special'												Nominations sought for 2017 Govenor's Humanities Awards	Reserve Street crash snarls lunch-hour traffic	Initiative to designate marijuana illegal in Montana on track to be on fall ballot		Montana AG Tim Fox helps subdue man throwing punches following energy conference	Health Highlights: April 6, 2016		In The Region for 042116		Police: Butte native Paul Joyce accidentally drove into reservoir	In short film, a 20-something night out as a turning point	Essential clothing maintenance kit	Health Tip: When a Child Complains of Back Pain		Marriage a Boost for Heart Attack Survivors	Former Vann?s CFO pleads guilty to defrauding company, will be sentenced in October	Meet Gary Johnson	Legion baseball: Walkoff downs Mavs in S.D. tournament opener	Messi convicted of tax fraud	Legion baseball: 'Root Sox sweep Mariners	Host with the most	State moving forward on Parrot removal but uncertain of future	ZooTown falters against Florida, 10-1	Health Highlights: Aug. 10, 2016	Sleep Is Key to College Success		The best (and worst) of Tom Hanks			Trump draws fans out on campaign stop in Waterloo
								Teenager missing from Missoula, may be in danger		Man wants his girlfriend to stay dressed for bed	The Best Ski Resorts in America (and Canada)											Laser Unlocks Blood-Brain Barrier for Chemotherapy, Study Shows	One Alcoholic Drink Might Temporarily Bump Up Heart Risk	Scientists Use Stem Cells to Correct Infant Cataracts	Kalispell veteran with brain injury pleads not guilty to felony charge		NEA head's whirlwind tour ends on Salish Kootenai College campus	Health Tip: Is Your Child Ready for Potty Training?		Laser Pointers Probably Won't Damage Pilots' Eyes ?		Prep Extra: Big-10 bound May has talent and perspective		Experts Rank America's 'Fittest Cities' -- Is Yours One of Them?	Hepatitis C Patients More Likely to Drink, Study Finds		May visitation to Glacier skyrockets to more than 178,000	Fruit, vegetable consumption on the rise	MIS 062316 sports calendar	Mac-and-cheese ranter is arrested in Florida	Missoula Farmers Market: Apricots are a powerhouse of nutrition	Legion baseball: AA Mavs build nine-run lead, hang on against Great Falls, 9-4	Locker decorations and beyond	Trouble with trade		Health Tip: Learn About Salmonella	Sweet! Some tasty ways to make the most of corn on the cob		Thunderstorms spark new wildfires in Swan Lake Ranger District			
								Woman's vow of celibacy is tested by her friends		Mass Shootings in the U.S.	Utah Valley beats Weber State 84-81 in 2OT											Male Childhood Cancer Survivors Less Likely to Have Kids, Study Finds	Online play-by-play available for State A boys' basketball in Missoula	Sharapova Not the First to Use Performance-Enhancing Drug	Kids Who Aren't Ready for Kindergarten May Suffer Long-Term Consequences			Health Tip: Managing Food Allergy		Late Tuesday tennis results for scoreboard		Prep Notebook: Hill, Aragon ran in instant classic	Bucs thump A Mavs, 18-7	Fabric dye	Kids' Grades May Suffer When Families Move		Mentally Ill Still Gain Illegal Possession of Guns, Study Shows	Geraldo Ortiz-Jimenez	Missoula Farmers Market: Asparagus has many health benefits	MIS 063016 sports calendar	Mixing Pot and Tobacco Increases Dependence Risk: Study	Lockwood unites in its grief for a missing 12-year-old	Lunches that won't spill	Trump's criticism		Health Tip: Use Cold Therapy to Ease Arthritis	Three veterans awarded 26 overdue medals		Track stocks in China			
						Students invited to enter MLK contest				Montana Legislature's spending debate likely to start right where it left off	Jeff Bridges' Montana love story											Missoula Rock Lotto: Led Zep covers to benefit assisted living music nonprofit	Ovarian Cancer Is More Than One Disease: Report	Sheriff's Office names man killed in Joliet in gunfire exchange with deputies	Many With Irregular Heartbeat Missing Out on Stroke-Preventing Treatments			High-Dose Radiation May Be No Better for Low-Risk Prostate Cancer		Little league agate for 042116		Prep scoreboard: Thursday, April 28	Rebhan throws 1-hitter as Mavs beat Helena	Fabric shaver	Late Legion baseball		MIS 060916 sports calendar	Hard to draw conclusions	Missoula U18 Strikers fall again	Mountain lion sighted in Helena's South Hills	Olympians with most summer gold medals	McDonald's	Lunches that won't spoil	What exactly does Kaine bring to the Democratic ticket?		Joggers' slayings have female runners on alert	Wildfire sparks near Lincoln on Tuesday		What about Gary Johnson and Jill Stein?			
						Thank-you for a gift is too often left unsaid				Schools and Universities	We Care for the Holidays: Russell Family Resource Center helps school's students, parents											Montana track teams head to Bozeman for Big Sky indoor meet	Poor Sleep May Not Add to Cholesterol Problems, Study Finds	State AA boys' basketball: Hellgate gets another bite of Bison in first round	Missoula man charged with aggravated assault in Victor			Hoy?s departure thins Montana State's ranks at QB at Montana State		Low-Dose Aspirin Tied to Better Cancer Survival in Study		Psoriasis Tied to Obesity, Type 2 Diabetes		Fabric shears	Legion baseball: Bitterroot Red Sox stop Missoula AA mavs		Missing teen case turns into a homicide investigation in Arlee	Hardtimes Bluegrass Festival	More opportunities	New Drug Shows Promise for Rare Blood Cancers	Overview: 2016 Summer Olympics	Montana Hoops prep all-star team wins MSNM championship	Maryland wants to ban letters to inmates	Wyoming woman dies in Big Horn County rollover		Keep Illicit Drugs, Booze Out of the Home to Lower Teens' Addiction Risk: Study			Woman can't make the break from her decades-long affair			
						UPDATED: Suspect in custody in triple shooting near Butte; one man dead				Suspect in Deer Lodge slayings of mother, son not well known by locals	Wind knocks down trees and power lines in Helena area											NBA Players Putting Their Hearts Into Medical Research		State B boys' basketball: Bigfork ready to make another run	Montana wins high marks for campaign disclosure practices			Inflectra Approved as 'Biosimilar' to Remicade	How Important Is Surgeon's Skill for Weight-Loss Surgery Outcomes?	Married woman can't resist when lover wants to meet		Sleep Doesn't Come Easy to Those With Brain Injuries		FLASH IN THE PAN: Your ideal diet is dictated by your genes	Legion baseball: Kalispell AA Lakers at Libby A Loggers		Money didn't guarantee success in Tuesday's voting	Headwaters Country Jam	Morris was Hellgate's pick from the start	Observation fire doubles in size overnight	Percent of those infected with Zika virus who show symptoms	Newly Released Inmates Account for 1 in 10 Fatal ODs	Meningitis B Vaccine Falls Short of Expectations	?This is the land for a young man?		Michael Phelps strikes gold twice						
										We Care: Home and Community Based Services keeps clients out of institutions												Poker tables folding across Montana	Smartphone Blood-Pressure App Often Wrong, Study Finds	Tai Chi Could Be a Healthy Move for Your Heart	New brewery opening in Glendive this May			Intensive Exercise a Fountain of Youth for Aging Muscles	Hunger Sending Some Americans to the Hospital	Missing Montana child found dead		Spanking: More Harm Than Good?	Nearly two dozen vandals cause damage at Flathead High	Giving Certain Foods Early May Cut Allergy Risk	MDT: 61 Montana traffic deaths this year ? and seat belts could prevent them		New Psoriasis Drug Works Longer Term, Too	How it all started: Yellowstone's 1st superintendent was nicknamed 'National Park Langford'	Net favorability	Progress Against Heart Deaths Starting to Wane, Report Warns	Police shooting spurs protests in Baton Rouge	Northside-Westside Block Party celebrates historic Missoula 'hoods	Missoula Farmers Market: Peas packed with health benefits			Obesity May Be Bad for the Brain, Too						
																						Prep Extra Scoreboard: Feb. 25	State A boys' basketball: Polson hoping for shot at top-seeded Dillon at state	Transplant From Incompatible Living Donor Boosts Kidney Patients' Survival	New Dengue Virus Vaccine Shows Promise			Lawmaker asks Motl to bow out of investigation into Laslovich, Lindeen	Implanted Brain Chip Restores Hand Movement to Quadriplegic Man	Mixing Lab Mice With Pet Store Peers Might Boost Research		Study shows Montanans' gambling nearly unparalleled		GREG PATENT: Spears of glory	MIS 052616 Little League		No Sex Please, I'm a Stressed New Mom	Isolation drives up prices	Niall Horan's toast	Ravalli County declares state of emergency, more fire crews coming	Prevalence of microcephaly by region in Brazil	Obesity More Deadly for Men Than Women: Study	Montana National Guard soldiers deploying to Romania			Rapid City man who fell while climbing Granite Peak in critical condition						
																						Prep Extra: Paige Holmes, Seeley-Swan aim to end postseason frustrations	State C boys' basketball: Arlee takes storybook season to state	U.S. Cancer Death Rate Continues to Fall	Obesity Linked to Higher Asthma Risk in Women			Lead bullets: Dangerous or not to raptors? Conservationist says yes	Lung Ultrasound May Be Best to Spot Pneumonia in Kids: Study	Opportunity for economic growth		Supreme Court hears arguments in Krakauer v. State of Montana		Health Highlights: May 18, 2016	Mom who wanders at night could be ill or just nosy		Parents: Stay Mum on Daughter's Weight	Jean Carlos Nieves Rodriguez	North Korea overview	Reassessing the Annual Pelvic Exam	Providential change for Missoula, Polson: It?s now Providence St. Joseph Health	Prep softball: Veterans Memorial Softball Classic expands to 5 teams	Most conservative governor			Regular Exercise: Antidote for Deadly Diseases?						
																						The cities that stay up latest	Steep Decline in Unintended Pregnancies in U.S., Study Finds	U.S. Pediatricians to Add Poverty to Well-Visit Checklist	Sentinel wrestlers, Hellgate swimmers have seasons to remember			Montana Gov. Bullock: State must keep vulnerable Colstrip units open	Obesity in Teens Seems to Raise Risk for Illness, Death in Middle Age	Prep Extra Scoreboard: Thursday, April 21		The 7 Deadliest Emergency General Surgeries		Health Tip: Boost Your Mood	Pot While Pregnant May Raise Premature Birth Risk: Study		Pug-Coton	Juan Chavez Martinez	North Korean armed forces over time	Religion a Buffer Against Suicide for Women, Study Suggests	RAFFLE RULES AND RESTRICTIONS	Red Robin	Much-Maligned Pigeon May Be a Lead Detective			Serious Infections Tied to Suicide Risk						
																						Two Livingston students die of apparent suicide in one week	Steroid Shot for Hip Pain May Carry Infection Risk If Too Close to Surgery	Vodka from the Wild West promises a smooth ride	Prep scoreboard, March 17			Opioid Painkiller May Be New Treatment for Heroin Addicts	Spinal Fusion Not Always Necessary for Back Pain, Studies Say	Prep extra: Big Sky's Coburn quietly setting records on and off the track		Top 10 cornerbacks		Health Tip: Practice Rhythmic Breathing	Predeployment Riskiest Time for Military Suicide Attempts		Rat-Cha	Juan Pablo Rivera Velazquez	North Korean life expectancy over time	So why is everyone upset?	The Olympic Games	Rising Blood Sugar Hitting More Obese Adults	Mystery winners of record Powerball jackpot are revealed			Symphonic summer sounds						
																						'In Transit': Hope for reinvention on the dayslong Empire Builder		Washington plans for Colstrip's closure, but stops short of ordering it	Ravalli County?s political races materialize on last filing day			Police pursuit hits 26 mph through Billings	Study Questions Health Value of Switching From Butter to Vegetable Oils	Previous Mental Distress May Slow Concussion Recovery		Type 2 Diabetes May Damage Hearing, Study Finds	Prep Extra: Hellgate's Panarella nearing the end of one pursuit, the beginning of another	High HIV Rates for Gay Men in Some Southern Cities	Prep Athletes of the Week for May 26		Ratshi terrier	Legion baseball: Glacier Twins sweep Mariners	Nuclear arsenal by country	Some background	Trump praises Saddam: 'He did that so good'	Routine Eye Exams See Vision Problems You Miss	New coaches, AD hired at Frenchtown			Tougher U.S. Air Standards Would Be Lifesavers: Study						
																						'Pot Tourists' Linked to Surge in Colorado ER Visits		With Early Breast Cancer, Targeted Radiation Shows Promise	Review Finds Mixed Success With Hemophilia Treatment			Prep softball: Willett, Frenchtown two-hit Missoula Hellgate	The most dangerous drugs	Project Lab: No-drill studs for basement tool wall		U.S. Health Report Card Finds Racial, Ethnic Disparities Persist	Prep notebook: Hellgate track qualifies too many distance runners for state	Hillary Clinton opens Billings office ahead of former president's visit	Researchers Find 8 Immune Genes in Aggressive Brain Cancer		Republican challengers to Gianforte receive unexpected 23 percent of vote	Lewis and Clark County has uncompleted death certificates back to 2011	Number of nuclear detonations by country	Stay Alert for Child Drowning Dangers This Summer	U.S. Army, French Drugmaker to Join Forces on Zika Vaccine	Sex education should begin before kids start to experiment	New Treatments Helping Kids With Juvenile Arthritis			Writer delves into Montana's Americana scene						
																								Woman Who Had 1st U.S. Uterus Transplant Loses the Organ Due to Complication	Scientists Say They've Created New Type of Stem Cells			Restaurants Cut Calories in Kids' Meals, Study Finds	What are the consequences of Zika?	Report: Harriet Tubman to replace Andrew Jackson on the $20 bill		What makes it the "best"?	Proposal would restrict motorized watercraft on certain Montana streams	IMDb Rating versus Number of IMDb Votes	Seattle Times editor Kathy Best named next Missoulian newsroom leader		Safe and stylish	Low-carb diet boon	Pharrell Williams' hat	Stem Cells Deemed Safe for ALS Patients	U.S. Car Crash Deaths Down, But Still Surpass Other Nations	UPDATE: Dillon officer cleared in fatal shooting of man	Opioids by Injection May Drive HIV Outbreaks			Young People With Epilepsy Struggle on Many Fronts						
																							With low stock prices, Stillwater CEO says merger calls are coming	Another Neurological Disorder Tied to Zika	Women With Alzheimer's May Keep Verbal Skills Longer Than Men			Study Sees No Link Between Common Epilepsy Drug, Certain Birth Defects	Whitefish actor learned sign language for play about deaf man	Road collapses between Pryor, St. Xavier		ZooMontana welcomes baby bighorn sheep		Is Monthly Rotation of Medical Residents a Risky Time for Patients?	Smoking Harms Black Americans' Kidneys, Study Suggests		Skip-Shzu	Luis Daniel Conde	Ready for a revolution?	Sufficient Sleep May Help Protect Men Against Diabetes: Study	Unrequited love for best friend is dead-end street	Where flooding is the deadliest	Pablo shooter gets 16 years; attorney says meth behind her legal woes			Zika Linked to Deformed Limbs in Newborns						
																							Woman's secret past revealed makes fiancé doubt the future	Late comeback not enough for Lady Griz				The Health Risks Posed by Mindless Munching	Zika Virus Causes Brain Defects in Babies: CDC	Sexual Trauma in Military May Lead to Homelessness: Study				Joan Larsen, Michigan	State A softball: Westerners gunning for state-favorite Belgrade		Sound Sleep Elusive for Many Kids With ADHD	Magic City Blues	Refugees seeking asylum from North Korea	Testosterone Therapy May Boost Older Men's Sex Lives	Why the Air Force is apologizing to Derek Jeter		Pro-Iraq War									
																							Women's Law Caucus hosts 19th annual silent auction	Tournament championship key to DeCuire's vision				Too Much Sitting May Shorten Your Life, Study Suggests		Study Ties Certain Mouth Germs to Pancreatic Cancer Risk				Legion baseball: Missoula AA Mavs rally past Bitterroot Red Sox	State AA and B-C softball: Top seeds Big Sky, Ronan seek to avenge silver finishes		Study Questions Use of Antidepressants for Children, Teens	Martin Benitez Torres	Scarlett Johansson's tissue	Unaffectionate husband is not likely to change	Zika virus disease overview		Religious Freedom Restoration Act									
																												U.S. Moving Money From Ebola Fund to Help Fight Zika		Talk Therapy May Help Depressed Teens Who Shun Antidepressants			Sorry, Ted Nugent and Texans. Montana is The Last Best Place.	Libby's May steps down as girls' basketball coach	The bottom of the list		Think Twice Before You Get That Tattoo: FDA	MIS 061616 sports calendar	Terrorist attacks and threats in North Korea	Unanimous choice	Zika-linked abnormalities in infants with microcephaly		RIP: filmmaker Garry Marshall									
																												Veteran suicide awareness walk/run set for May 22 in Missoula					Thousands turn out for Sanders rally in Caras Park in Missoula		The quirkiest purchases made by the presidential campaigns		VA Montana director to step down	Missoula filmmakers release coming-of-age web series	That 15 percent rule	Walkaway returns to Billings release center; escape charges not pursued	?Best-in-class?		Shannen Doherty shaves her head as she battles cancer									
																												Women Twice as Likely to Die From Severe Heart Attack, Study Finds		Warfarin Can Be Safe, Effective for People With Irregular Heartbeat					The top of the list		Woman with secret fantasies hesitates before sharing them	Montana Baroque Music Festival	The big question	Zika Brain Damage May Occur in Babies With Normal-Sized Heads			Sleep Disorders 6 Times Higher Among Veterans									
																																	Wanted man arrested in Billings park following foot chase		What Doctors Aren't Telling Obese, Young Adults		Women Less Likely to Get Blood Thinner for Irregular Heartbeat	Montana Folk Festival	The list				Study: VA Hospitals Compare Favorably to Non-VA Centers									
																																	Western AA divisional tennis: Hellgate's Howard makes up for lost time				Wood engravers' exhibition shows vitality of medium	Moods of the Madison	Tippet Rise Art Center opens public tours for the season				Supreme Court: Colstrip had good cause to fire former police chief, doesn't have to pay settlement									
																																	Woman's lack of experience makes her reluctant to commit					Not every friend desires to be eligible for benefits	Trump, Johnson and independent voters				The Koch brothers' network									
